sale_id,customer_id,product_id,date_id,quantity,total_amount,discount
47,644,51,20230223,4,526.89,73.7646
48,909,90,20230614,8,944.05,236.0125
49,489,48,20230211,10,534.4,138.944
50,75,49,20231010,9,810.84,105.40920000000001
51,619,38,20230630,9,385.64,15.4256
52,636,12,20231004,5,468.65,117.1625
53,571,98,20230422,6,533.87,85.4192
54,976,57,20230720,4,263.39,21.0712
55,55,34,20230524,10,554.57,77.63980000000001
56,531,52,20231008,4,195.72,9.786000000000001
57,218,24,20230818,5,865.26,34.6104
58,906,17,20230307,6,291.56,78.72120000000001
59,628,95,20230808,1,390.12,81.9252
60,495,92,20230722,9,863.73,164.1087
61,984,8,20230103,4,460.95,69.1425
62,750,71,20230203,5,86.12,12.056800000000003
63,461,50,20230222,4,800.44,184.10120000000003
64,958,64,20230826,8,311.95,31.195
65,167,8,20230420,8,283.75,48.237500000000004
66,805,90,20230305,8,191.47,34.4646
67,423,90,20230831,4,796.76,191.2224
68,503,43,20231226,5,215.21,30.129400000000004
69,608,61,20230425,2,811.78,162.356
70,676,80,20230414,10,980.57,127.4741
71,147,82,20230916,9,552.54,66.3048
72,477,69,20231015,4,502.16,140.6048
73,61,17,20231025,8,360.16,75.6336
74,590,40,20230416,2,305.41,42.757400000000004
75,786,88,20231201,8,20.55,5.1375
76,464,97,20230423,5,481.1,125.08600000000001
77,98,70,20230106,3,424.14,76.34519999999999
78,969,48,20230823,5,701.81,98.2534
79,596,84,20230522,5,931.35,74.50800000000001
80,364,25,20230310,5,883.27,70.6616
81,517,40,20230615,1,136.61,8.1966
82,907,35,20230528,4,287.94,66.2262
83,260,90,20231003,4,984.67,29.5401
84,680,20,20230824,5,38.57,1.5428
85,505,90,20230615,9,510.11,45.9099
86,567,92,20230227,9,235.37,42.3666
87,502,89,20230714,9,224.8,49.456
88,114,69,20230130,5,53.77,6.990100000000001
89,765,29,20230713,1,544.24,48.9816
90,85,96,20231125,9,894.86,223.715
91,124,32,20231002,4,654.83,196.449
92,714,9,20230213,2,947.25,265.23
93,725,70,20230524,3,544.3,54.43
94,192,36,20230908,8,495.96,74.39399999999999
95,427,64,20230320,6,98.24,20.630399999999998
96,332,32,20230816,9,147.1,35.303999999999995
97,704,47,20231010,9,675.45,195.8805
98,287,22,20230920,8,767.61,76.76100000000001
99,240,48,20230519,7,774.8,46.48799999999999
100,782,2,20230226,2,942.06,263.77680000000004
101,996,3,20231211,8,485.6,121.4
102,38,77,20230226,10,665.31,46.5717
103,657,82,20230814,10,610.93,79.4209
104,877,96,20230803,9,800.28,136.04760000000002
105,267,10,20231003,4,529.84,127.1616
106,515,37,20230414,1,293.66,29.366000000000003
107,678,68,20231223,7,398.13,19.9065
108,57,50,20230402,3,689.57,131.0183
109,876,64,20230824,9,434.51,56.4863
110,536,48,20230927,6,744.46,89.3352
111,124,5,20231014,5,340.53,85.1325
112,186,54,20230727,4,404.91,4.0491
113,947,20,20230120,3,360.53,57.684799999999996
114,40,48,20230427,9,466.5,4.665
115,764,60,20230818,8,734.03,14.6806
116,102,13,20230117,10,336.11,40.3332
117,136,65,20230831,9,793.2,222.09600000000003
118,46,76,20230624,1,936.85,168.633
119,398,14,20230401,6,95.77,1.9154
120,697,1,20230611,10,655.38,6.5538
121,567,63,20230221,1,925.72,83.3148
122,354,79,20230211,3,394.29,7.885800000000001
123,495,61,20230428,4,667.7,113.50900000000001
124,1000,34,20230511,6,345.86,13.8344
125,857,12,20231125,3,360.12,21.6072
126,980,17,20230320,4,634.4,31.72
127,807,99,20230609,6,636.78,44.574600000000004
128,438,29,20230304,9,748.42,74.842
129,659,21,20231027,2,768.69,46.1214
130,17,31,20230111,8,238.55,19.084
131,701,84,20230106,10,87.91,17.582
132,501,34,20230127,10,223.3,64.757
133,475,11,20230806,6,279.29,8.3787
134,977,92,20230715,9,922.14,221.31359999999998
135,474,10,20230317,7,696.19,153.1618
136,238,28,20230901,2,621.08,43.47560000000001
137,977,86,20230901,9,695.15,166.83599999999998
138,777,91,20230809,1,550.03,82.5045
139,324,95,20230814,8,514.57,97.76830000000001
140,708,32,20230625,9,828.28,240.20119999999997
141,858,8,20231230,3,772.36,208.5372
142,832,36,20231216,1,512.29,51.229
143,413,26,20230824,5,744.83,59.586400000000005
144,975,73,20230928,4,985.97,207.0537
145,477,9,20230804,9,324.56,87.6312
146,815,11,20231202,3,849.31,237.8068
147,376,74,20230616,5,440.78,79.34039999999999
148,366,82,20230604,5,196.59,41.2839
149,451,52,20230418,3,420.22,58.83080000000001
150,990,22,20230223,3,57.89,3.4734
151,533,89,20230516,6,143.38,21.506999999999998
152,923,80,20231003,10,941.49,65.9043
153,508,97,20230713,1,327.8,68.838
154,276,10,20231206,7,634.13,25.3652
155,607,68,20230603,3,689.02,27.5608
156,292,57,20230221,1,762.6,167.77200000000002
157,97,11,20231113,4,80.35,14.463
158,32,66,20230622,9,94.31,24.5206
159,431,6,20230410,8,736.56,117.8496
160,78,17,20230929,9,814.68,73.32119999999999
161,932,94,20230107,1,293.04,55.677600000000005
162,97,95,20231213,7,571.41,91.4256
163,264,7,20230409,5,840.94,84.09400000000001
164,789,96,20230808,10,465.62,27.9372
165,675,39,20230202,9,881.15,158.607
166,401,21,20230622,5,488.7,58.644
167,229,39,20230916,8,727.78,203.7784
168,390,17,20230204,4,330.44,99.13199999999999
169,560,94,20231215,3,384.23,61.476800000000004
170,822,17,20230824,5,178.18,39.199600000000004
171,9,29,20231004,5,320.15,19.209
172,297,46,20230526,7,890.76,62.35320000000001
173,596,40,20230328,1,710.22,71.022
174,212,94,20230802,6,522.0,52.2
175,990,45,20230509,3,745.33,171.4259
176,679,37,20230508,4,93.96,28.188
177,942,63,20230911,9,232.59,4.651800000000001
178,114,88,20230403,4,943.51,198.1371
179,377,52,20230605,4,83.51,17.5371
180,515,26,20230213,3,403.98,88.8756
181,610,16,20230419,3,637.0,25.48
182,999,15,20230118,2,376.3,79.023
183,942,79,20230808,10,505.81,35.4067
184,483,80,20230915,3,633.7,120.403
185,212,78,20230314,7,333.27,36.6597
186,687,22,20231231,6,214.28,29.999200000000002
187,495,70,20230731,2,615.72,147.7728
188,79,32,20231101,10,835.0,0.0
189,8,38,20230119,7,735.46,198.57420000000002
190,349,31,20230628,6,967.91,67.75370000000001
191,309,23,20230628,10,190.33,22.8396
192,856,99,20230126,10,564.54,11.290799999999999
193,361,57,20230305,4,214.48,10.724
194,143,40,20230305,7,385.83,23.1498
195,64,36,20230915,10,764.83,99.42790000000001
196,550,67,20230223,8,605.75,48.46
197,553,99,20230603,3,472.43,37.7944
198,438,68,20230626,3,108.92,29.408400000000004
199,68,47,20231223,9,482.16,9.6432
200,465,68,20231226,6,924.46,9.2446
201,650,27,20230214,10,821.41,16.4282
202,285,55,20230707,7,715.68,7.1568
203,29,47,20230424,10,231.77,16.223900000000004
204,290,98,20230305,1,894.19,62.593300000000006
205,277,55,20230716,1,541.36,86.61760000000001
206,689,71,20230402,9,634.35,76.122
207,371,94,20231011,6,94.91,15.185599999999999
208,463,36,20230209,9,802.22,208.5772
209,313,32,20230317,3,980.23,68.6161
210,663,74,20230926,6,242.17,26.6387
211,836,36,20230617,5,664.85,19.9455
212,413,43,20230213,5,812.18,56.8526
213,483,59,20230602,6,268.61,69.8386
214,612,96,20230105,3,877.98,35.1192
215,66,19,20231225,2,174.65,29.690500000000004
216,665,34,20230516,1,541.66,37.9162
217,611,36,20230827,4,709.72,191.6244
218,444,3,20230227,5,362.09,3.6209
219,52,22,20230815,7,934.5,18.69
220,387,62,20231204,9,558.66,39.1062
221,932,9,20230124,6,707.04,176.76
222,816,76,20231211,4,92.65,19.456500000000002
223,40,66,20230627,9,567.37,141.8425
224,470,28,20230825,3,582.77,29.1385
225,154,17,20231215,7,45.76,12.3552
226,760,27,20230922,2,658.95,164.7375
227,407,1,20230828,2,605.56,54.50039999999999
228,202,49,20230816,1,319.37,92.6173
229,393,70,20231204,2,410.0,61.5
230,891,73,20231016,3,478.31,133.92680000000001
231,92,89,20231023,10,657.17,164.2925
232,174,16,20230313,2,407.59,81.518
233,111,77,20231204,8,272.54,57.2334
234,954,92,20231015,6,718.2,14.364
235,664,91,20230701,8,247.19,34.6066
236,982,38,20231013,4,436.54,69.8464
237,620,92,20230322,8,822.65,8.2265
238,687,75,20230927,2,203.86,6.1158
239,214,45,20231215,5,833.59,158.3821
240,523,67,20231214,8,685.75,82.28999999999999
241,28,21,20231120,5,47.71,1.9084
242,510,26,20231027,1,905.54,72.4432
243,727,7,20230816,6,966.32,231.9168
244,841,68,20230922,3,920.12,92.012
245,14,87,20230110,4,156.84,25.0944
246,995,47,20230405,5,74.27,2.9708
247,901,24,20230916,3,130.35,35.1945
248,526,37,20230806,2,39.09,1.5636
249,383,96,20231127,9,996.6,0.0
250,220,54,20231012,4,555.0,138.75
251,568,77,20230121,10,193.19,54.0932
252,781,24,20230211,10,77.93,21.041100000000004
253,988,22,20230518,4,737.23,110.5845
254,578,58,20231208,2,530.66,106.132
255,391,99,20231214,4,913.3,255.72400000000002
256,390,42,20231201,8,725.53,137.8507
257,202,42,20230926,3,117.82,24.742199999999997
258,646,59,20230416,5,280.98,33.717600000000004
259,646,75,20230819,7,621.23,80.7599
260,986,5,20231211,5,777.45,77.745
261,991,5,20231122,1,194.24,21.366400000000002
262,705,73,20230926,9,258.04,12.902000000000001
263,950,70,20230220,2,320.94,32.094
264,592,63,20230914,8,452.31,72.3696
265,301,49,20231225,1,290.22,11.6088
266,326,64,20230814,3,183.66,40.4052
267,215,86,20231222,8,57.04,15.4008
268,821,47,20230607,7,646.65,32.3325
269,909,29,20230808,4,889.61,17.7922
270,827,13,20230805,4,503.54,45.3186
271,257,12,20231117,2,150.69,40.6863
272,275,21,20231230,2,492.47,34.4729
273,353,84,20231108,9,803.86,168.8106
274,243,21,20230218,1,984.48,167.3616
275,949,26,20230714,9,784.37,62.7496
276,961,70,20230315,2,737.93,125.4481
277,124,6,20230605,2,483.94,9.6788
278,380,38,20230619,5,429.7,34.376
279,185,72,20230221,2,774.4,216.83200000000002
280,602,81,20230803,2,240.73,48.146
281,646,76,20230802,3,498.72,134.6544
282,621,24,20230502,9,746.91,44.8146
283,750,14,20230517,10,599.45,17.9835
284,669,92,20231206,2,192.52,42.354400000000005
285,503,72,20230506,6,754.29,120.68639999999999
286,354,50,20230118,5,901.23,198.2706
287,250,5,20230521,2,594.6,124.866
288,955,54,20230816,2,903.82,171.72580000000002
289,155,27,20231204,6,195.2,44.896
290,824,91,20231024,1,217.91,37.0447
291,508,32,20230324,6,206.02,51.505
292,545,22,20231007,4,432.72,112.50720000000001
293,793,40,20230405,5,448.19,89.638
294,79,71,20230128,1,615.77,129.3117
295,586,45,20231029,4,910.23,172.9437
296,188,17,20230710,6,795.53,71.59769999999999
297,606,56,20230212,1,850.64,17.0128
298,923,7,20230525,7,613.3,30.665
299,718,32,20230220,2,798.01,23.9403
300,659,12,20230330,3,490.44,44.1396
301,176,69,20231118,7,207.07,41.414
302,876,61,20231009,1,630.69,126.13800000000002
303,116,18,20230727,10,244.56,41.5752
304,777,100,20230331,10,278.08,13.904
305,346,16,20230520,4,228.33,9.1332
306,995,53,20231103,1,461.27,46.127
307,906,94,20230729,6,192.83,17.3547
308,909,70,20230904,9,493.11,24.655500000000004
309,188,11,20230416,8,949.81,9.498099999999999
310,572,66,20230927,1,808.89,169.8669
311,976,19,20231101,7,190.44,20.9484
312,418,4,20230916,3,63.86,14.0492
313,778,13,20230413,10,541.44,102.87360000000001
314,56,75,20231016,4,377.99,22.6794
315,28,47,20230415,5,311.69,6.2338000000000005
316,801,44,20230222,9,309.17,30.917
317,286,52,20230320,3,92.66,6.4862
318,62,96,20230307,3,967.16,154.7456
319,457,91,20230805,1,568.39,113.678
320,597,9,20231115,6,632.82,6.328200000000001
321,487,81,20230804,6,676.41,148.81019999999998
322,937,55,20230227,8,787.04,110.18560000000001
323,507,16,20230214,4,710.35,149.1735
324,57,43,20231211,6,891.34,267.402
325,750,40,20230131,4,836.66,167.332
326,191,42,20230710,5,39.9,1.995
327,2,91,20231208,8,159.92,17.591199999999997
328,878,40,20231116,9,674.23,182.0421
329,612,13,20230524,2,997.29,239.34959999999998
330,109,13,20230331,2,690.94,172.735
331,253,37,20230524,5,485.91,92.3229
332,108,27,20231008,10,580.79,121.96589999999999
333,29,96,20230616,5,217.14,58.6278
334,815,50,20231211,7,586.76,5.8676
335,65,19,20230120,1,911.46,18.229200000000002
336,410,99,20230727,4,268.03,21.4424
337,220,4,20230414,7,433.04,60.625600000000006
338,170,92,20230420,9,418.6,62.79
339,94,99,20230411,3,392.75,109.97000000000001
340,368,12,20231223,9,235.64,14.138399999999999
341,485,48,20231122,5,298.4,65.648
342,782,63,20231218,2,657.85,124.9915
343,386,60,20230126,6,373.93,14.9572
344,189,71,20230911,4,661.36,105.8176
345,784,29,20231018,3,704.59,84.5508
346,565,11,20231102,10,894.39,35.7756
347,358,21,20230123,1,133.3,9.331000000000001
348,476,1,20231030,7,803.06,152.5814
349,705,25,20230205,9,929.85,37.194
350,453,70,20230510,8,613.94,61.394000000000005
351,459,92,20230517,1,854.09,76.8681
352,479,1,20230103,3,424.7,97.681
353,782,64,20230702,8,185.61,5.5683
354,263,93,20230108,4,123.82,30.955
355,702,98,20230322,8,948.95,161.32150000000001
356,730,70,20230812,7,98.57,7.885599999999999
357,238,60,20230824,5,832.25,166.45000000000002
358,204,90,20230312,6,344.91,44.838300000000004
359,123,1,20230419,9,664.83,132.966
360,278,91,20230206,3,283.54,17.0124
361,17,34,20230527,10,836.48,33.4592
362,899,71,20230318,8,827.76,182.1072
363,306,2,20230502,4,985.2,275.85600000000005
364,23,57,20230713,9,189.62,32.235400000000006
365,877,62,20230923,5,324.29,68.1009
366,679,27,20230415,3,291.42,8.7426
367,561,60,20230216,2,965.48,19.3096
368,453,19,20230312,9,210.21,52.5525
369,759,2,20230427,10,969.75,261.83250000000004
370,341,22,20231021,5,843.95,236.30600000000004
371,669,26,20230823,2,746.83,224.049
372,611,26,20230112,6,889.84,80.0856
373,782,50,20230817,8,304.16,36.4992
374,132,39,20231206,4,122.72,20.8624
375,778,22,20231224,2,206.1,28.854000000000003
376,891,49,20230410,9,860.37,25.8111
377,66,28,20231022,2,879.49,61.56430000000001
378,69,71,20230708,9,293.77,82.2556
379,416,91,20231107,5,148.65,22.2975
380,733,83,20230605,9,56.94,9.1104
381,291,100,20230126,5,430.4,43.04
382,904,68,20230917,2,50.6,8.602
383,927,86,20230910,6,689.14,165.3936
384,257,30,20230430,1,944.45,122.77850000000001
385,252,41,20230918,3,663.3,13.266
386,17,37,20230614,1,769.1,69.219
387,931,83,20231222,10,820.97,90.3067
388,699,52,20231218,10,958.26,210.81719999999999
389,555,61,20230113,7,722.77,151.7817
390,63,35,20230320,1,668.22,40.0932
391,700,33,20230710,4,462.88,87.9472
392,595,12,20230803,1,705.76,155.2672
393,922,64,20230906,10,263.03,55.23629999999999
394,499,31,20230703,3,990.84,99.084
395,250,5,20231114,6,206.62,61.986
396,457,12,20231105,5,588.31,88.24649999999998
397,224,34,20231206,5,697.08,34.854000000000006
398,208,26,20231224,6,661.54,13.2308
399,929,92,20230810,3,108.96,29.4192
400,163,22,20231205,4,996.48,279.0144
401,453,54,20230924,10,706.22,183.61720000000003
402,540,70,20230419,2,898.07,197.5754
403,879,81,20230111,6,359.63,75.5223
404,114,71,20230427,9,99.15,25.779000000000003
405,425,41,20231020,10,642.84,109.28280000000001
406,267,23,20230108,3,864.21,51.8526
407,72,6,20230826,5,734.32,176.23680000000002
408,971,10,20231023,1,109.93,12.092300000000002
409,995,19,20231121,4,480.1,24.005000000000003
410,280,15,20230818,6,443.46,93.1266
411,352,42,20230712,1,663.31,72.96409999999999
412,162,94,20230306,5,751.8,97.734
413,280,73,20230823,1,215.44,40.9336
414,481,78,20231216,9,273.14,57.359399999999994
415,981,34,20230612,2,615.91,129.34109999999998
416,529,99,20230224,5,416.89,95.8847
417,432,23,20230127,6,931.71,139.7565
418,302,81,20230902,3,231.15,43.9185
419,846,62,20230807,4,531.5,42.52
420,381,89,20230711,6,877.47,263.241
421,343,9,20231006,6,492.36,123.09
422,973,60,20230713,8,901.29,27.0387
423,772,34,20230111,2,998.52,49.926
424,384,38,20230608,3,986.98,49.349000000000004
425,1000,69,20231023,9,406.83,89.5026
426,286,53,20230610,1,722.64,7.2264
427,988,99,20230825,6,230.94,66.9726
428,528,39,20231028,6,282.41,8.4723
429,891,37,20230604,5,776.68,93.20159999999998
430,255,33,20230706,5,540.25,86.44
431,836,16,20230719,1,811.06,64.8848
432,28,58,20231102,9,116.14,19.7438
433,948,41,20230201,5,41.12,9.0464
434,336,97,20230428,3,250.51,30.0612
435,675,43,20230114,5,895.82,35.832800000000006
436,125,16,20231114,1,411.01,0.0
437,953,79,20230707,1,881.69,167.52110000000002
438,724,40,20230809,7,104.33,10.433
439,968,80,20231104,8,437.68,74.4056
440,208,99,20231227,5,565.19,16.9557
441,256,3,20231027,5,138.96,31.960800000000003
442,929,77,20231106,2,218.68,8.747200000000001
443,297,35,20230827,4,323.12,71.0864
444,125,64,20230529,1,782.06,78.206
445,531,40,20230314,5,713.64,57.0912
446,512,51,20230405,2,990.95,59.457
447,782,94,20230302,7,458.14,4.5814
448,977,6,20230603,10,163.39,16.339
449,499,47,20230727,1,873.28,244.5184
450,877,64,20230726,10,736.49,117.83840000000001
451,877,41,20231127,6,918.79,275.637
452,293,27,20230603,1,643.22,32.161
453,731,96,20231108,6,154.93,9.2958
454,460,61,20230714,3,130.86,13.086000000000002
455,945,71,20231205,6,689.61,110.33760000000001
456,338,3,20230515,8,943.67,37.7468
457,67,37,20230717,4,644.21,57.9789
458,755,99,20231213,10,414.33,37.289699999999996
459,50,73,20230119,6,828.1,231.86800000000002
460,779,16,20230701,5,673.0,40.379999999999995
461,498,86,20230829,4,482.44,14.473199999999999
462,286,44,20230215,2,475.13,28.5078
463,230,35,20231203,1,159.23,46.1767
464,756,50,20230724,10,846.3,169.26
465,895,61,20230518,3,314.97,6.2994
466,724,2,20230328,8,128.22,23.0796
467,225,69,20230811,8,859.98,120.39720000000001
468,730,44,20230306,5,496.69,149.007
469,964,77,20230126,5,77.24,21.627200000000002
470,602,70,20230704,10,823.03,98.7636
471,327,68,20230922,3,597.86,107.6148
472,337,22,20230406,6,692.87,159.36010000000002
473,838,26,20230925,1,865.06,77.85539999999999
474,705,66,20230711,1,213.27,12.7962
475,867,4,20230325,6,83.6,22.572
476,497,48,20231104,5,514.77,77.21549999999999
477,316,74,20230111,4,62.36,9.354
478,499,36,20231028,4,535.91,48.231899999999996
479,823,74,20230616,3,900.92,54.05519999999999
480,30,48,20230219,4,394.36,11.8308
481,928,52,20231017,10,999.75,279.93
482,19,73,20230602,1,642.35,64.235
483,500,78,20231125,2,181.18,32.6124
484,535,45,20230920,6,112.01,14.561300000000001
485,606,2,20230325,4,808.89,24.2667
486,29,59,20230415,7,86.15,0.8615
487,551,6,20230528,3,622.17,87.1038
488,552,18,20230524,10,939.51,93.95100000000001
489,734,83,20230813,8,674.29,175.31539999999998
490,820,88,20230827,8,491.82,113.1186
491,316,38,20230811,7,398.93,51.8609
492,390,54,20230828,6,907.94,154.34980000000002
493,150,33,20231113,2,672.62,174.8812
494,11,41,20231012,7,78.39,21.9492
495,847,14,20230401,8,447.37,17.8948
496,493,87,20231215,2,152.62,27.4716
497,99,45,20231214,2,820.69,24.6207
498,184,33,20231220,1,29.61,5.3298
499,871,80,20230608,4,286.5,11.46
500,168,15,20230813,1,250.86,62.715
501,151,35,20230316,5,957.99,28.7397
502,258,72,20230719,1,253.91,5.0782
503,191,43,20230911,7,421.16,46.327600000000004
504,710,49,20230411,3,751.07,202.78890000000004
505,547,23,20230626,1,825.17,198.0408
506,931,82,20230801,1,657.26,6.5726
507,342,90,20230818,9,535.88,80.38199999999999
508,609,21,20231106,2,962.19,134.7066
509,626,38,20230331,4,851.68,246.98719999999997
510,867,80,20230219,7,157.17,11.001900000000001
511,597,67,20230518,6,24.98,4.246600000000001
512,14,38,20231029,3,509.3,137.51100000000002
513,122,35,20230820,9,988.21,177.8778
514,521,70,20231114,8,362.24,90.56
515,33,6,20230710,4,890.53,124.67420000000001
516,339,65,20231106,7,998.43,29.952899999999996
517,964,47,20231210,5,350.16,56.025600000000004
518,116,11,20230517,1,723.59,173.6616
519,105,65,20230722,8,412.52,0.0
520,708,12,20230213,6,262.47,76.11630000000001
521,199,99,20230601,8,204.59,57.2852
522,201,19,20230306,8,581.53,104.6754
523,336,6,20231215,8,870.85,226.42100000000002
524,782,88,20231204,8,467.96,126.3492
525,591,49,20230717,6,422.43,101.3832
526,58,57,20231227,7,326.83,29.414699999999996
527,310,50,20230902,6,776.38,163.03979999999999
528,678,68,20230311,1,760.16,159.6336
529,981,13,20230319,1,583.15,23.326
530,357,51,20230208,3,89.26,7.1408000000000005
531,205,9,20230220,3,472.94,132.4232
532,788,61,20231123,8,377.7,94.425
533,252,93,20230211,7,383.77,15.3508
534,884,65,20231214,9,364.6,72.92
535,434,1,20230727,1,682.2,136.44000000000003
536,465,88,20231202,1,110.85,5.5425
537,199,94,20231031,8,755.66,60.452799999999996
538,207,55,20230304,2,324.86,84.4636
539,611,57,20230121,6,828.79,207.1975
540,75,38,20231217,7,894.43,214.6632
541,520,69,20231018,8,723.57,115.77120000000001
542,84,14,20231002,4,318.89,86.1003
543,979,40,20230615,8,614.43,73.73159999999999
544,52,80,20230209,2,222.3,42.237
545,574,53,20230526,10,484.62,92.0778
546,468,74,20230328,10,701.89,49.1323
547,863,2,20230107,6,824.88,32.9952
548,404,43,20230201,5,360.26,93.66760000000001
549,553,85,20230413,9,486.49,53.5139
550,761,13,20230514,10,40.0,0.4
551,754,76,20230602,7,600.23,12.0046
552,541,56,20230116,9,573.16,80.2424
553,898,18,20231128,8,795.72,135.2724
554,413,80,20230425,2,969.71,77.5768
555,554,53,20230111,9,71.87,0.7187
556,437,13,20231013,5,327.46,3.2746
557,339,73,20230530,2,883.09,185.4489
558,56,64,20230707,1,331.99,23.239300000000004
559,461,57,20231115,9,416.35,41.635000000000005
560,870,53,20230226,7,529.23,79.3845
561,683,93,20230220,4,626.85,125.37
562,26,2,20230514,10,79.77,8.7747
563,406,7,20230227,9,388.56,3.8856
564,614,71,20230719,3,922.99,184.598
565,582,31,20231006,5,586.93,152.6018
566,596,20,20231009,8,877.38,140.3808
567,231,44,20230402,6,524.25,41.94
568,4,98,20230403,2,811.35,48.681
569,999,24,20231119,10,688.34,178.9684
570,842,75,20231201,8,473.43,123.0918
571,333,89,20230618,1,792.82,0.0
572,937,81,20230401,5,262.19,76.0351
573,266,25,20231014,7,313.3,31.330000000000002
574,207,6,20231017,3,373.74,85.9602
575,310,25,20230426,5,269.54,61.994200000000006
576,934,25,20230417,6,396.87,95.2488
577,271,53,20230614,5,925.88,64.81160000000001
578,1,89,20230902,7,898.3,152.711
579,271,28,20231215,6,748.19,22.445700000000002
580,269,60,20230829,7,219.72,2.1972
581,778,87,20230422,1,679.17,81.5004
582,383,18,20230215,8,450.76,67.61399999999999
583,85,24,20231106,1,127.53,33.1578
584,320,62,20230711,2,953.52,47.676
585,704,81,20230614,5,215.45,0.0
586,233,5,20230223,1,279.63,50.3334
587,778,51,20230202,2,734.21,110.1315
588,299,7,20230710,1,805.44,144.9792
589,284,44,20230523,10,635.67,158.9175
590,112,18,20230807,2,943.81,273.70489999999995
591,626,69,20231213,9,523.12,88.9304
592,850,92,20230324,2,113.51,21.5669
593,657,14,20230408,9,638.08,70.1888
594,78,23,20231220,4,89.13,9.8043
595,638,98,20230325,6,849.01,152.8218
596,131,31,20230115,5,681.81,143.18009999999998
597,527,9,20231201,10,118.02,8.2614
598,501,54,20231119,9,249.41,2.4941
599,781,41,20230918,9,918.31,45.9155
600,951,48,20230621,5,503.04,55.3344
601,356,89,20230121,10,806.14,193.47359999999998
602,704,60,20230917,3,266.56,55.977599999999995
603,412,47,20230113,10,726.62,181.655
604,715,13,20231214,2,697.71,174.4275
605,153,61,20231020,4,647.34,58.260600000000004
606,401,94,20230513,1,237.47,2.3747000000000003
607,6,8,20231215,7,824.4,115.41600000000001
608,794,69,20230305,9,51.97,11.953100000000001
609,674,55,20230205,7,358.84,43.06079999999999
610,443,20,20230722,8,642.79,25.7116
611,95,44,20231230,7,205.29,4.1058
612,787,55,20230726,1,573.42,149.0892
613,495,38,20230706,9,804.43,16.0886
614,194,27,20230918,10,29.48,5.6012
615,359,81,20231108,9,266.18,77.1922
616,697,36,20230710,10,258.97,18.127900000000004
617,744,45,20230820,3,491.72,137.68160000000003
618,697,98,20230226,10,687.02,164.88479999999998
619,794,59,20230110,2,674.39,20.2317
620,115,15,20230312,4,467.82,121.6332
621,710,1,20230401,9,380.56,60.8896
622,79,88,20230124,9,499.71,104.9391
623,945,67,20230509,2,967.0,251.42000000000002
624,548,55,20230117,9,473.15,9.463
625,569,46,20231028,3,723.37,50.63590000000001
626,577,62,20231204,3,545.78,114.61379999999998
627,284,19,20230927,3,192.26,48.065
628,568,41,20231223,2,571.0,34.26
629,668,22,20230904,3,925.35,157.3095
630,201,6,20230328,8,831.53,133.0448
631,189,26,20230906,10,35.86,8.2478
632,975,74,20230430,3,409.51,98.2824
633,448,36,20230117,10,240.26,9.6104
634,551,59,20230828,4,941.67,75.3336
635,460,73,20230703,8,976.2,58.572
636,66,58,20230309,2,241.84,31.439200000000003
637,541,29,20230207,2,722.07,151.6347
638,432,71,20230416,7,678.09,108.49440000000001
639,736,63,20231124,4,168.96,35.4816
640,346,15,20230826,2,464.28,92.856
641,446,26,20231110,8,624.52,43.7164
